County,None,D0,D1,D2,D3,D4,ValidStart
Stanislaus County,5.13,94.87,4.54,0.0,0.0,0.0,2025-03-04
Stanislaus County,5.13,94.87,4.54,0.0,0.0,0.0,2025-02-25
Stanislaus County,5.13,94.87,4.54,0.0,0.0,0.0,2025-02-18
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-11
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-02-04
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-28
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Stanislaus County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Stanislaus County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
